RA,IAA,IEG,IPS,math,portuguese,lag,IAA__minus_1,IEG__minus_1,IPS__minus_1,math__minus_1,portuguese__minus_1,lag__minus_1,IAA__minus_2,IEG__minus_2,IPS__minus_2,math__minus_2,portuguese__minus_2,lag__minus_2,years
RA-32,"0,0","8,2","3,77","9,0","5,8",0,"8,8","5,2","8,8","5,7","3,6",0.0,,,,,,,2
RA-33,"0,0","4,6","7,5","9,0","1,6",-1,,,,,,,,,,,,,1
RA-34,"9,6","4,8","8,1","4,7","4,0",-1,,,,,,,,,,,,,1
RA-35,"10,0","9,6","9,4","9,0","7,1",-1,,,,,,,,,,,,,1
RA-36,"9,2","9,0","6,9","8,5","4,3",-1,,,,,,,,,,,,,1
RA-37,"0,0","5,4","5,0","2,3","5,3",-1,,,,,,,,,,,,,1
RA-38,"9,6","9,7","7,52","8,2","8,8",0,"9,2","8,9","7,5","9,0","7,0",-1.0,,,,,,,2
RA-39,"9,6","9,1","7,52","8,3","7,8",0,"0,0","4,8","6,9","7,7","5,1",0.0,,,,,,,2
RA-40,"7,1","7,2","8,1","3,5","6,0",0,"7,5","8,2","7,52","6,2","5,7",-1.0,"7,9","7,8","7,5","4,7","7,3",-1.0,3
RA-41,"9,2","6,1","5,0","6,3","2,5",-2,,,,,,,,,,,,,1
RA-42,"9,2","9,7","5,6","9,0","7,5",-1,"8,8","8,6","5,63","6,3","4,2",-1.0,"8,3","7,9","5,6","3,7","4,5",0.0,3
RA-43,"7,9","6,7","5,63","4,0","5,0",-1,"6,3","6,5","5,6","4,0","5,8",-1.0,,,,,,,2
RA-44,"0,0","8,5","5,01","7,3","5,8",-2,"5,0","5,9","7,5","2,3","3,5",-2.0,,,,,,,2
RA-45,"7,5","9,6","9,4","7,5","7,0",0,"7,1","9,6","6,26","7,8","6,3",0.0,"7,9","8,9","5,6","6,3","5,2",0.0,3
RA-46,"7,1","7,4","2,52","2,8","3,0",-3,"8,8","8,4","6,3","2,8","2,8",-2.0,,,,,,,2
RA-47,"7,9","6,3","7,5","2,5","2,2",-2,,,,,,,,,,,,,1
RA-48,"7,9","8,3","9,4","6,5","6,0",0,"6,7","8,4","6,26","8,3","5,7",0.0,"6,7","8,4","7,5","6,7","8,0",0.0,3
RA-49,"7,5","7,4","7,5","1,5","4,2",-2,,,,,,,,,,,,,1
RA-50,"7,5","8,4","7,5","6,5","7,3",-3,,,,,,,,,,,,,1
RA-51,"8,8","7,6","7,5","4,5","4,5",-2,,,,,,,,,,,,,1
RA-52,"8,8","9,4","6,9","6,8","8,9",2,"10,0","9,8","2,52","7,7","4,8",1.0,"9,6","8,9","7,5","3,3","6,3",2.0,3
RA-53,"9,2","9,1","5,63","7,3","6,5",-2,"9,2","7,0","7,5","6,0","8,0",-2.0,,,,,,,2
RA-54,"7,9","6,9","7,5","3,0","6,5",-1,,,,,,,,,,,,,1
RA-55,"7,9","8,1","3,14","8,7","6,5",-1,"7,1","7,6","5,6","6,7","7,8",-1.0,,,,,,,2
RA-56,"10,0","9,3","10,0","8,0","6,0",0,"9,6","9,5",5,"7,8","5,5",0.0,"10,0","10,0","7,5","4,5","6,5",0.0,3
RA-57,"9,6","6,0","6,9","6,0","6,5",0,"0,0","8,0","5,63","7,8","6,8",-1.0,"7,1","8,1","5,6","9,0","7,0",-1.0,3
RA-58,"9,6","9,8","7,5","8,0","6,5",0,"0,0","9,7","6,26","7,8","6,5",0.0,"9,6","9,2","6,3","4,5","8,0",0.0,3
RA-59,"7,5","9,6","5,63","7,7","6,8",-2,"9,2","9,3","7,5","7,0","5,7",-2.0,,,,,,,2
RA-60,"6,7","6,0","7,5","5,0","6,2",-3,,,,,,,,,,,,,1
RA-61,"8,3","7,0","6,26","6,7","4,3",0,"9,2","7,4","7,5","1,7","6,3",0.0,,,,,,,2
RA-62,"0,0","9,8","6,89","9,3","6,8",0,"8,8","9,4","7,5","8,5","10,0",-2.0,,,,,,,2
RA-63,"6,7","9,0","6,89","9,3","7,3",-1,"8,3","9,1","8,8","8,2","8,2",-1.0,,,,,,,2
RA-64,"10,0","9,0","8,1","8,0","6,5",0,"7,5","9,2","6,89","7,0","6,0",-1.0,"7,1","8,1","8,1","4,8","8,2",-1.0,3
RA-65,"8,3","7,7","7,5","9,0","9,5",-2,,,,,,,,,,,,,1
RA-66,"7,5","5,6","7,5","3,0","6,0",-2,,,,,,,,,,,,,1
RA-67,"5,8","3,0","7,5","3,0","4,2",-1,,,,,,,,,,,,,1
RA-68,"8,3","6,0","7,5","4,7","4,8",-1,,,,,,,,,,,,,1
RA-69,"8,3","6,1","7,5","4,7","2,6",-1,,,,,,,,,,,,,1
RA-70,"9,2","9,2",5,"3,0","3,5",-2,"8,8","6,6","5,0","5,7","2,9",-1.0,,,,,,,2
RA-71,"6,7","9,8","6,26","7,3","5,5",-2,"7,9","2,0","7,5","1,3","2,2",-2.0,,,,,,,2
RA-72,"8,3","7,5","7,5","7,5","7,8",-2,,,,,,,,,,,,,1
RA-73,"7,1","3,0","7,5","4,5","3,0",-2,,,,,,,,,,,,,1
RA-74,"9,6","3,3","7,5","6,0","0,0",-1,,,,,,,,,,,,,1
RA-75,"5,4","3,8","6,3","0,0","0,0",-1,,,,,,,,,,,,,1
RA-76,"10,0","9,0","6,9","7,3","7,8",2,,,,,,,"10,0","9,1","8,1","9,3","8,3",0.0,3
RA-77,"7,1","2,7","5,0","0,3","1,8",-1,,,,,,,,,,,,,1
RA-78,"8,8","8,0","8,8","6,5","6,0",0,"0,0","7,7","6,26","8,5","4,8",-2.0,"8,3","6,6","5,6","8,7","5,7",-2.0,3
RA-79,"5,8","6,2",5,"6,0","7,7",-1,"5,4","6,3","5,6","9,5","7,7",-1.0,,,,,,,2
RA-80,"8,8","7,9","8,1","5,0","6,0",0,"8,3","8,4","6,89","8,2","5,7",-1.0,"9,2","8,3","5,0","6,5","7,7",-1.0,3
RA-81,"9,2","9,3","6,3","9,0","6,5",0,"9,6","8,8","2,52","8,7","4,7",0.0,"9,2","9,2","5,0","5,5","5,2",1.0,3
RA-82,"8,8","6,8","7,5","6,0","5,0",-2,,,,,,,,,,,,,1
RA-83,"7,9","6,8","7,5","6,0","7,5",-2,,,,,,,,,,,,,1
RA-84,"0,0","8,8","2,52","6,8","5,8",-2,"7,1","8,8","5,0","5,7","6,5",-2.0,,,,,,,2
RA-85,"8,3","8,7","3,8","9,0","4,5",-2,"8,8","8,9","6,27","5,8","3,8",-1.0,"6,7","7,3","5,0","5,0","3,5",0.0,3
RA-86,"6,7","9,7","6,6","6,4","6,3",0,,,,,,,"7,5","9,6","5,6","6,2","7,2",-1.0,3
RA-87,"8,8","9,6","9,4","10,0","7,5",1,"7,5","10,0","5,63","9,5","8,7",0.0,"8,3","9,6","7,5","8,3","8,0",0.0,3
RA-88,"7,1","9,2","5,6","6,8","6,2",-2,,,,,,,,,,,,,1
RA-89,"8,3","8,1",5,"6,3","2,3",-1,"9,6","7,8","7,5","7,5","5,7",-1.0,,,,,,,2
RA-90,"10,0","9,0","6,9","7,7","8,3",2,"10,0","9,6","7,52","6,7","6,8",1.0,"10,0","9,7","9,4","7,7","8,0",2.0,3
RA-91,"10,0","7,5","5,6","9,0","4,0",-1,"10,0","7,4","6,89","9,5","5,0",-1.0,"9,2","5,7","5,6","5,5","5,7",-1.0,3
RA-92,"10,0","8,8","7,5","8,0","5,0",0,"9,6","9,4","5,63","8,7","4,8",-1.0,"9,2","7,1","5,0","7,8","5,5",-1.0,3
RA-93,"9,2","9,9","6,3","6,8","7,2",1,,,,,,,"8,3","9,7","8,1","8,8","8,3",0.0,3
RA-94,"10,0","9,7","6,3","7,0","7,0",0,"7,5","9,6","2,52","7,7","4,8",-1.0,"8,3","9,6","8,1","7,0","6,7",0.0,3
RA-95,"8,3","6,6","7,5","6,0","8,0",-2,,,,,,,,,,,,,1
RA-96,"9,6","8,9","7,52","6,8","4,8",-1,"9,2","7,8","6,9","5,7","6,5",-1.0,,,,,,,2
RA-97,"7,5","8,8","5,0","5,3","6,7",0,,,,,,,,,,,,,1
RA-98,"9,6","9,5","7,2","9,2","8,9",1,,,,,,,"8,8","10,0","9,4","8,4","8,2",0.0,3
RA-99,"7,9","8,3","5,63","4,7","4,0",-1,"8,8","6,3","7,5","5,7","3,4",-1.0,,,,,,,2
RA-100,"8,8","7,8","5,0","7,0","7,8",1,,,,,,,,,,,,,1
RA-101,"7,9","8,3","7,5","7,2","6,5",-1,,,,,,,,,,,,,1
RA-102,"6,7","7,7","6,9","4,7","6,8",0,,,,,,,,,,,,,1
RA-103,"8,3","9,6","6,3","9,0","9,0",0,"8,3","9,2",5,"7,3","6,3",1.0,"7,9","8,7","7,5","7,3","7,3",1.0,3
RA-104,"0,0","7,7","2,52","3,7","1,8",-3,"7,9","8,7","7,5","4,8","5,8",-4.0,,,,,,,2
RA-105,"7,9","8,2","5,6","7,2","6,2",-3,,,,,,,,,,,,,1
RA-106,"9,2","8,8","5,6","7,0","3,5",0,"7,9","9,1",5,"6,7","6,8",0.0,"9,2","8,0","9,4","7,8","7,2",-1.0,3
RA-107,"7,5","8,0","7,5","0,0","4,5",-1,"0,0","8,5",5,"6,0","5,2",0.0,"7,5","6,4","7,5","3,3","4,3",-1.0,3
RA-108,"5,8","7,3","2,52","2,7","3,2",-2,"4,6","7,7","5,0","3,0","5,8",-3.0,,,,,,,2
RA-109,"8,3","9,9","7,52","7,0","8,2",-1,"8,8","10,0","8,8","7,8","7,5",-2.0,,,,,,,2
RA-110,"9,2","9,7","6,3","10,0","7,0",0,"8,3","8,6",5,"8,3","6,2",0.0,"9,2","9,7","5,6","8,3","5,7",0.0,3
RA-111,"9,2","9,5","6,3","8,0","7,0",0,"7,5","8,7",5,"6,0","5,2",1.0,"7,5","9,4","8,1","6,7","7,5",1.0,3
RA-112,"7,1","8,0","7,5","9,5","6,0",0,"6,7","8,1",5,"7,3","6,5",-1.0,"7,9","7,8","6,3","9,0","7,5",-1.0,3
RA-113,"8,8","7,1","7,5","7,0","6,0",-1,,,,,,,"0,0","0,0","5,0","3,3","5,5",-1.0,3
RA-114,"0,0","6,0","3,14","4,0","4,5",-2,"7,9","6,3","7,5","6,0","4,5",-2.0,,,,,,,2
RA-115,"7,9","4,2","6,3","6,5","4,5",-2,"8,8","7,1",5,"3,7","3,8",-1.0,"8,3","6,8","6,3","3,0","5,7",-2.0,3
RA-116,"8,3","7,5","5,6","6,5","2,0",-2,"6,7","7,6",5,"2,3","5,0",-2.0,"5,8","8,1","6,3","5,0","7,2",-2.0,3
RA-117,"7,9","6,3","6,9","4,7","6,7",-1,,,,,,,,,,,,,1
RA-118,"0,0","5,3","6,3","3,7","4,7",0,,,,,,,,,,,,,1
RA-119,"7,1","10,0","6,6","6,1","7,5",1,,,,,,,"8,3","8,2","5,6","5,7","7,0",0.0,3
RA-120,"8,3","5,9","7,5","3,7","5,2",-1,,,,,,,,,,,,,1
RA-121,"8,8","8,2","6,3","7,5","9,0",-2,"6,3","8,8",5,"5,0","5,7",-1.0,"7,1","8,4","6,3","5,7","6,8",-2.0,3
RA-122,"7,9","3,4","7,5","1,7","3,7",0,,,,,,,,,,,,,1
RA-123,"7,5","8,4","5,6","6,5","5,5",-1,"0,0","9,4",5,"5,0","5,3",-2.0,"7,9","8,6","5,6","7,3","6,3",-2.0,3
RA-124,"7,9","7,8","5,0","5,7","7,0",0,,,,,,,,,,,,,1
RA-125,"8,3","5,6","7,5","3,0","7,0",-1,"9,2","7,7",5,"3,3","5,8",-1.0,"8,8","8,5","7,5","5,0","7,2",-1.0,3
RA-126,"7,1","5,8","7,5","4,0","5,0",-1,,,,,,,,,,,,,1
RA-127,"8,8","9,5","7,5","10,0","3,5",0,"8,8","7,8","6,26","4,7","6,3",0.0,"7,5","8,7","7,5","7,7","7,7",0.0,3
RA-128,"6,7","7,3",5,"6,3","4,0",-1,"0,0","6,2","7,5","6,7","6,8",-1.0,,,,,,,2
RA-129,"6,7","6,4","7,5","6,0","5,3",-1,,,,,,,,,,,,,1
RA-130,"8,3","4,7","5,0","3,7","5,2",-2,,,,,,,,,,,,,1
RA-131,"8,8","9,4","7,5","4,0","5,0",-2,"8,3","7,8",5,"0,0","3,0",-1.0,"8,8","9,0","5,6","6,0","6,5",-1.0,3
RA-132,"8,3","8,4","7,5","7,0","8,0",0,"7,5","8,7","2,52","6,3","6,5",0.0,"10,0","8,8","5,6","6,5","7,5",0.0,3
RA-133,"7,5","7,9","2,52","5,0","4,3",-1,"7,9","7,1","7,5","4,7","7,2",-1.0,,,,,,,2
RA-134,"8,8","6,8","7,5","4,7","6,8",-1,,,,,,,,,,,,,1
RA-135,"8,3","7,8","5,6","8,0","8,2",-1,,,,,,,,,,,,,1
RA-136,"10,0","6,3","7,5","5,3","5,7",-1,,,,,,,,,,,,,1
RA-137,"9,6","7,6","5,0","2,0","8,5",-2,"7,1","6,3","2,52","7,3","4,5",-2.0,"7,5","8,9","5,0","6,0","7,3",-3.0,3
RA-138,"9,6","8,8","7,5","7,5","5,0",-2,"10,0","7,9","6,26","4,0","3,7",-2.0,"9,6","8,0","5,6","5,0","6,5",-1.0,3
RA-139,"7,1","3,5","5,0","1,7","2,7",-3,,,,,,,,,,,,,1
RA-140,"7,9","7,6","6,9","5,0","6,5",0,,,,,,,,,,,,,1
RA-141,"9,6","8,4","5,63","6,0","5,3",-1,"9,2","8,2","5,6","5,8","6,2",0.0,,,,,,,2
RA-142,"6,7","8,6","5,6","6,0","6,8",0,,,,,,,,,,,,,1
RA-143,"10,0","9,9","6,9","0,0","0,0",2,"8,3","9,6","2,52","9,2","5,0",1.0,"8,3","9,9","5,6","9,7","7,7",1.0,3
RA-144,"0,0","5,2","2,52","3,3","2,5",1,"7,5","9,3","5,0","7,5","7,2",0.0,,,,,,,2
RA-145,"0,0","6,3","8,1","3,0","4,8",-2,,,,,,,,,,,,,1
RA-146,"8,8","9,5","5,6","9,0","9,0",-2,"6,2","9,5",5,"7,8","5,8",-1.0,"8,3","9,2","7,5","6,3","7,3",-1.0,3
RA-147,"8,3","9,3","7,5","6,0","2,5",-1,"0,0","7,0","5,63","5,0","6,0",-1.0,"8,3","7,7","7,5","5,8","4,8",0.0,3
RA-148,"9,2","7,9","10,0","4,7","6,3",0,,,,,,,,,,,,,1
RA-149,"9,6","4,1","6,3","0,0","6,5",-2,"8,8","4,2","2,52","5,7","3,5",-2.0,"9,2","6,5","7,5","4,0","6,0",-1.0,3
RA-150,"9,6","6,3","6,9","5,3","6,7",-2,,,,,,,,,,,,,1
RA-151,"0,0","7,8","7,52","6,8","7,0",-2,"8,8","7,5","6,9","7,3","8,0",-2.0,,,,,,,2
RA-152,"7,5","7,3","5,6","0,0","7,5",-2,"7,9","7,7","2,52","4,0","5,0",-2.0,"8,3","7,0","7,5","4,0","7,0",-2.0,3
RA-153,"8,8","0,0","6,6","0,0","0,0",2,"9,2","7,4","2,52","6,0","5,3",0.0,"7,9","8,2","5,0","3,3","7,7",0.0,3
RA-154,"8,3","6,1","6,3","3,7","6,2",-1,,,,,,,,,,,,,1
RA-155,"7,9","8,1",5,"5,3","2,8",-2,"10,0","8,3","7,5","4,3","6,8",-2.0,,,,,,,2
RA-156,"10,0","8,3","9,4","4,7","6,5",-1,,,,,,,,,,,,,1
RA-157,"8,3","10,0","6,3","10,0","9,0",1,"7,1","9,9","2,52","6,0","6,8",2.0,"7,5","10,0","6,3","7,0","7,5",1.0,3
RA-158,"8,3","7,8","6,3","2,5","1,5",0,"7,1","9,0","2,52","6,0","5,7",1.0,"7,9","9,8","5,6","5,0","6,7",-3.0,3
RA-159,"7,9","8,1","2,52","5,0","6,0",-2,"8,3","8,1","5,6","4,3","5,8",-1.0,,,,,,,2
RA-160,"8,3","7,4","6,3","3,0","5,5",-1,"8,8","8,3","2,52","3,3","3,8",-1.0,"7,5","7,2","5,6","2,7","6,0",-1.0,3
RA-161,"8,8","8,0","6,3","5,0","7,0",0,"0,0","7,3","2,52","7,0","4,5",1.0,"7,9","9,1","5,6","5,3","6,8",2.0,3
RA-162,"6,7","8,5","7,5","4,7","5,5",0,,,,,,,,,,,,,1
RA-163,"8,8","7,9","5,6","6,5","6,3",-1,,,,,,,,,,,,,1
RA-164,"9,6","8,1","6,3","6,0","2,0",-2,"0,0","8,2","2,52","6,0","4,2",-1.0,"8,3","7,3","5,6","4,7","6,5",-2.0,3
RA-165,"7,5","9,4","7,5","10,0","7,5",0,"6,7","9,2","2,52","7,3","6,2",0.0,"7,1","9,8","5,6","5,3","7,8",0.0,3
RA-166,"8,3","9,2","6,6","8,2","7,8",1,"7,5","8,9","6,26","7,0","7,2",0.0,"9,2","9,0","6,3","7,0","7,2",0.0,3
RA-167,"8,8","9,5","6,3","8,0","6,5",-1,"8,8","9,9",5,"8,3","7,2",-2.0,"9,2","9,7","5,6","9,3","8,0",-2.0,3
RA-168,"0,0","9,6","6,89","4,3","3,0",0,"7,9","8,3","6,3","4,7","8,2",-1.0,,,,,,,2
RA-169,"7,5","5,1","6,3","1,3","4,5",-1,,,,,,,,,,,,,1
RA-170,"9,2","8,5","5,6","10,0","6,5",-1,"8,8","8,9","2,52","6,3","8,7",-2.0,"8,3","9,2","5,6","3,7","6,7",0.0,3
RA-171,"7,5","7,8","5,6","7,0","8,0",-1,"7,5","7,2",5,"4,5","4,8",-2.0,"7,5","6,8","7,5","3,0","8,0",-2.0,3
RA-172,"8,8","9,8","6,6","6,7","7,7",1,,,,,,,"9,2","8,9","9,4","6,0","7,7",0.0,3
RA-173,"9,2","8,5","6,26","9,0","6,2",-2,"8,3","9,2","6,9","9,0","7,5",-3.0,,,,,,,2
RA-174,"7,9","5,6",5,"3,7","7,3",-2,"7,9","6,2","7,5","4,0","5,3",-1.0,,,,,,,2
RA-175,"10,0","9,5","6,3","9,5","6,5",-1,"8,8","9,2","2,52","5,0","5,0",-1.0,"8,3","9,2","5,6","4,7","7,2",-1.0,3
RA-176,"9,6","9,5","6,3","9,0","8,0",1,"9,6","9,5","2,52","7,3","7,3",0.0,"9,6","9,1","5,6","5,1","6,8",0.0,3
RA-177,"7,9","8,8","4,4","6,0","7,5",0,,,,,,,,,,,,,1
RA-178,"9,6","8,7","6,3","2,5","2,5",0,"7,9","8,7","2,52","6,3","5,8",0.0,"0,0","8,8","4,4","6,2","5,3",0.0,3
RA-179,"9,2","9,4","9,4","7,0","8,0",1,"8,8","9,4","7,52","8,7","6,3",0.0,"7,5","9,2","7,5","3,7","6,7",0.0,3
RA-180,"9,2","9,4","7,5","9,0","8,5",2,"9,2","9,4","2,52","8,3","7,3",1.0,"9,2","8,3","6,3","7,7","8,3",0.0,3
RA-181,"7,5","8,7","6,3","0,0","7,5",0,"9,6","8,3","2,52","8,3","6,5",0.0,"9,2","9,5","8,8","6,8","7,3",0.0,3
RA-182,"7,5","8,0","7,5","1,3","5,7",-3,,,,,,,,,,,,,1
RA-183,"7,9","9,2","6,3","5,0","7,5",0,"7,9","9,7","2,52","7,0","8,0",-1.0,"8,3","8,8","7,5","0,0","7,5",0.0,3
RA-184,"8,8","8,7","6,3","9,5","5,0",1,"7,9","9,5","7,52","7,3","6,3",1.0,"8,8","7,7","7,5","5,0","7,3",-3.0,3
RA-185,"7,9","7,7","7,5","3,3","5,7",-2,,,,,,,,,,,,,1
RA-186,"7,9","9,6","6,3","6,0","7,0",1,"7,5","9,7","2,52","6,8","7,0",0.0,"8,3","8,5","7,5","6,0","5,7",0.0,3
RA-187,"8,8","9,5","5,6","7,5","7,0",0,"7,5","9,9","2,52","7,3","8,7",0.0,"8,8","8,9","7,5","5,3","7,2",0.0,3
RA-188,"0,0","6,1","7,5","3,0","3,2",-1,,,,,,,,,,,,,1
RA-189,"10,0","10,0","6,3","7,0","7,5",0,"7,9","9,4","2,52","6,3","6,5",0.0,"10,0","9,7","5,0","6,3","7,2",-1.0,3
RA-190,"7,9","9,5","2,52","5,8","5,2",-1,"6,7","6,9","8,8","5,0","7,5",0.0,,,,,,,2
RA-191,"7,5","9,6","5,9","6,0","6,9",2,"0,0","9,7","2,52","8,7","7,0",0.0,"10,0","9,4","8,8","8,0","7,2",0.0,3
RA-192,"8,3","6,4","7,5","4,0","7,5",-2,"8,8","6,2",5,"6,0","5,8",-2.0,"8,8","3,6","7,5","1,7","4,7",-2.0,3
RA-193,"8,8","9,8","6,3","6,5","4,5",1,"8,3","9,4","2,52","6,0","6,3",1.0,"9,2","8,9","5,6","5,0","6,3",0.0,3
RA-194,"0,0","6,2","5,0","3,7","5,8",-1,,,,,,,,,,,,,1
RA-195,"7,5","9,7","6,3","9,0","6,5",1,"7,1","9,2","2,52","6,3","6,2",0.0,"8,8","9,2","5,0","6,8","6,3",0.0,3
RA-196,"8,8","9,7","7,5","8,0","7,0",1,"7,9","9,0","2,52","7,0","6,0",1.0,"9,2","9,1","7,5","4,0","6,0",0.0,3
RA-197,"7,5","9,8","6,3","7,0","8,0",0,"8,3","9,8","2,52","7,0","7,3",1.0,"8,8","9,7","4,4","6,0","7,5",0.0,3
RA-198,"0,0","6,2","5,0","5,2","5,8",0,,,,,,,,,,,,,1
RA-199,"8,3","7,6","6,9","5,0","9,0",-1,"9,2","7,6","7,51","8,2","8,2",-1.0,"8,3","7,1","7,5","5,7","7,8",0.0,3
RA-200,"9,6","4,5","2,52","4,3","4,2",-2,"7,9","5,6","4,4","4,7","5,0",-2.0,,,,,,,2
RA-201,"7,9","7,3","7,5","6,0","7,2",-2,,,,,,,,,,,,,1
RA-202,"8,3","7,9","6,3","8,5","6,0",-1,"8,8","7,9","2,52","6,3","4,8",-1.0,"0,0","5,2","4,4","6,3","5,8",-1.0,3
RA-203,"8,8","4,3","7,5","2,3","3,5",-1,,,,,,,,,,,,,1
RA-204,"9,2","6,8","6,3","5,0","7,5",0,"8,8","7,9","2,52","4,7","8,0",0.0,"7,9","6,7","4,4","5,3","8,5",0.0,3
RA-205,"9,6","7,6","4,38","7,0","5,5",-1,"9,6","3,8","7,5","5,7","1,7",-1.0,,,,,,,2
RA-206,"8,3","8,8","7,5","4,0","6,0",0,,,,,,,,,,,,,1
RA-207,"0,0","4,8","7,5","5,3","4,0",-3,,,,,,,,,,,,,1
RA-208,"7,5","7,1","7,5","5,0","7,5",-1,,,,,,,,,,,,,1
RA-209,"0,0","4,8","5,6","5,0","5,2",-1,,,,,,,,,,,,,1
RA-210,"0,0","5,1","7,5","2,7","5,3",-1,,,,,,,,,,,,,1
RA-211,"9,6","9,4","7,5","5,5","6,5",0,"9,6","9,4","2,52","7,7","8,0",0.0,"9,2","8,8","7,5","6,7","7,5",0.0,3
RA-212,"9,6","8,4","7,5","4,8","5,8",-1,,,,,,,,,,,,,1
RA-213,"9,6","8,7","7,5","5,0","2,0",0,,,,,,,,,,,,,1
RA-214,"0,0","6,1","7,5","5,0","3,5",-2,,,,,,,,,,,,,1
RA-215,"7,1","6,5","6,3","5,0","2,0",0,"8,8","6,6","2,52","5,7","6,7",0.0,"6,7","5,8","7,5","5,7","7,7",0.0,3
RA-216,"7,9","8,5","7,5","5,3","6,5",0,,,,,,,,,,,,,1
RA-217,"8,3","8,9","6,3","9,0","7,0",-1,"8,3","8,6","2,52","6,7","5,3",-1.0,"7,9","8,5","7,5","6,3","7,2",-2.0,3
RA-218,"0,0","6,7","2,52","5,7","7,0",-1,"6,3","7,3","7,5","5,0","7,0",-1.0,,,,,,,2
RA-219,"8,8","6,9","7,5","4,0","4,8",-3,,,,,,,,,,,,,1
RA-220,"8,8","8,2","6,3","8,0","3,5",0,"8,8","7,6","2,52","6,3","5,8",0.0,"0,0","8,1","7,5","6,8","6,8",0.0,3
RA-221,"9,6","9,0",5,"5,5","4,8",-2,"9,6","8,5","7,5","7,0","3,5",-1.0,,,,,,,2
RA-222,"7,1","4,6","7,5","5,0","7,5",-2,,,,,,,,,,,,,1
RA-223,"0,0","4,5","7,52","5,5","4,0",-1,"0,0","4,6","7,5","4,3","4,7",0.0,,,,,,,2
RA-224,"9,6","4,3","7,5","5,0","2,7",0,,,,,,,,,,,,,1
RA-225,"8,3","5,3","7,5","3,0","7,0",-1,,,,,,,,,,,,,1
RA-226,"7,5","6,1","7,5","7,0","6,5",-1,,,,,,,,,,,,,1
RA-227,"9,6","8,1","9,4","4,0","6,0",0,"9,6","7,5","5,63","7,2","6,5",0.0,"9,2","6,4","7,5","4,7","4,3",0.0,3
RA-228,"7,5","6,7","7,5","3,0","6,0",-2,,,,,,,,,,,,,1
RA-229,"9,6","9,8","5,6","9,5","7,0",1,"9,2","9,8","2,52","8,0","8,2",1.0,"10,0","9,4","7,5","7,0","6,7",0.0,3
RA-230,"7,9","5,1","7,5","3,7","4,3",-1,,,,,,,,,,,,,1
RA-231,"8,8","7,4","7,5","3,0","4,5",-1,,,,,,,,,,,,,1
